ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_005964	0.14	-2.84	0.37	-1.45	0.92	-0.11	0.52	-0.95	Homo sapiens myosin, heavy polypeptide 10, non-muscle (MYH10), mRNA.	ILMN_23305	MYH10	
NM_001387	NaN	NaN	0.53	-0.93	1.89	0.92	1.9	0.92	Homo sapiens dihydropyrimidinase-like 3 (DPYSL3), mRNA.	ILMN_23309	DPYSL3	
NM_003010	1.3	0.37	1.12	0.16	0.98	-0.03	0.96	-0.06	Homo sapiens mitogen-activated protein kinase kinase 4 (MAP2K4), mRNA.	ILMN_23313	MAP2K4	
NM_003171	1.23	0.3	1.24	0.31	0.7	-0.51	0.78	-0.36	Homo sapiens suppressor of var1, 3-like 1 (S. cerevisiae) (SUPV3L1), mRNA.	ILMN_23318	SUPV3L1	
NM_016558	1.36	0.45	1.1	0.14	0.86	-0.22	0.83	-0.28	Homo sapiens SCAN domain containing 1 (SCAND1), transcript variant 1, mRNA.	ILMN_23327	SCAND1	
NM_017647	1.6	0.68	1.84	0.88	0.99	-0.01	0.97	-0.05	Homo sapiens FtsJ homolog 3 (E. coli) (FTSJ3), mRNA.	ILMN_23328	FTSJ3	
NM_032505	1.25	0.32	1.46	0.54	0.73	-0.45	0.62	-0.68	Homo sapiens kelch repeat and BTB (POZ) domain containing 8 (KBTBD8), mRNA.	ILMN_23329	KBTBD8	
NM_005797	0.74	-0.44	0.56	-0.83	0.35	-1.53	0.25	-1.98	Homo sapiens epithelial V-like antigen 1 (EVA1), transcript variant 1, mRNA.	ILMN_23335	EVA1	
NM_153211	1.58	0.66	1.36	0.45	0.62	-0.69	0.49	-1.03	Homo sapiens chromosome 18 open reading frame 17 (C18orf17), mRNA.	ILMN_23336	C18orf17	
NM_003186	1.14	0.19	1.28	0.36	3.41	1.77	2.1	1.07	Homo sapiens transgelin (TAGLN), transcript variant 2, mRNA.	ILMN_2335	TAGLN	
NM_014153	1.38	0.47	1.15	0.2	0.96	-0.06	0.97	-0.05	Homo sapiens zinc finger CCCH-type containing 7A (ZC3H7A), mRNA.	ILMN_23354	ZC3H7A	
NM_024345	1.48	0.57	1.23	0.3	1.01	0.02	1.11	0.15	Homo sapiens WD repeat domain 32 (WDR32), mRNA.	ILMN_23373	WDR32	
NM_006087	0.36	-1.46	0.53	-0.93	0.63	-0.66	0.56	-0.84	Homo sapiens tubulin, beta 4 (TUBB4), mRNA.	ILMN_23388	TUBB4	
NM_138349	0.34	-1.56	0.46	-1.13	0.75	-0.41	0.69	-0.54	Homo sapiens tumor protein p53 inducible protein 13 (TP53I13), mRNA.	ILMN_23391	TP53I13	
NM_000194	1.13	0.18	1.05	0.06	1.1	0.14	1.21	0.27	Homo sapiens hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome) (HPRT1), mRNA.	ILMN_23394	HPRT1	
NM_000170	1.32	0.4	1.19	0.25	0.13	-2.95	0.17	-2.57	Homo sapiens glycine dehydrogenase (decarboxylating	ILMN_23395	GLDC	
NM_178014	0.84	-0.25	1.19	0.25	1.37	0.45	1.23	0.3	Homo sapiens tubulin, beta (TUBB), mRNA.	ILMN_23399	TUBB	
NM_003799	1.33	0.42	1.19	0.25	0.81	-0.31	0.99	-0.01	Homo sapiens RNA (guanine-7-) methyltransferase (RNMT), mRNA.	ILMN_23400	RNMT	
NM_019080	1.43	0.52	1.39	0.47	1.25	0.32	1.21	0.28	Homo sapiens Nedd4 family interacting protein 2 (NDFIP2), mRNA.	ILMN_23410	NDFIP2	
NM_002486	1.03	0.05	1.14	0.19	0.99	-0.02	1.13	0.17	Homo sapiens nuclear cap binding protein subunit 1, 80kDa (NCBP1), mRNA.	ILMN_23411	NCBP1	
NM_003715	0.76	-0.4	0.77	-0.38	0.83	-0.28	0.88	-0.18	Homo sapiens vesicle docking protein p115 (VDP), mRNA.	ILMN_23419	VDP	
NM_006809	0.5	-0.99	0.71	-0.5	0.9	-0.14	1.06	0.08	Homo sapiens translocase of outer mitochondrial membrane 34 (TOMM34), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_23426	TOMM34	
NM_001061	1.35	0.43	1.28	0.35	1.12	0.16	1.08	0.11	Homo sapiens thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A) (TBXAS1), transcript variant TXS-I, mRNA.	ILMN_23430	TBXAS1	
NM_002029	2.19	1.13	1.93	0.95	NaN	NaN	NaN	NaN	Homo sapiens formyl peptide receptor 1 (FPR1), mRNA.	ILMN_23433	FPR1	
NM_016561	0.73	-0.45	0.74	-0.44	1	0	1.08	0.12	Homo sapiens bifunctional apoptosis regulator (BFAR), mRNA.	ILMN_23440	BFAR	
NM_017652	1.22	0.29	1.1	0.14	1	0	1.29	0.36	Homo sapiens zinc finger protein 586 (ZNF586), mRNA.	ILMN_23441	ZNF586	
NM_145755	2.2	1.14	2.24	1.16	2.07	1.05	3.54	1.82	Homo sapiens tetratricopeptide repeat domain 21A (TTC21A), mRNA.	ILMN_23448	TTC21A	
NM_153329	0.6	-0.75	0.79	-0.34	0.51	-0.98	0.57	-0.81	Homo sapiens aldehyde dehydrogenase 16 family, member A1 (ALDH16A1), mRNA.	ILMN_23450	ALDH16A1	
NM_006861	1.34	0.43	1.21	0.27	0.95	-0.07	0.94	-0.08	Homo sapiens RAB35, member RAS oncogene family (RAB35), mRNA.	ILMN_23452	RAB35	
NM_013330	0.56	-0.83	0.68	-0.55	0.94	-0.09	0.77	-0.37	Homo sapiens non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase) (NME7), transcript variant 1, mRNA.	ILMN_23456	NME7	
NM_022744	0.82	-0.28	0.77	-0.37	0.58	-0.79	0.59	-0.75	Homo sapiens chromosome 16 open reading frame 58 (C16orf58), mRNA.	ILMN_23463	C16orf58	
NM_015949	0.94	-0.09	0.78	-0.35	0.92	-0.12	0.89	-0.17	Homo sapiens chromosome 7 open reading frame 20 (C7orf20), mRNA.	ILMN_23467	C7orf20	
NM_007198	0.77	-0.39	0.64	-0.65	0.89	-0.16	0.83	-0.26	Homo sapiens proline synthetase co-transcribed homolog (bacterial) (PROSC), mRNA.	ILMN_23472	PROSC	
NM_005980	NaN	NaN	NaN	NaN	3.37	1.75	6.81	2.77	Homo sapiens S100 calcium binding protein P (S100P), mRNA.	ILMN_23476	S100P	
NM_173354	3.32	1.73	2.36	1.24	2.32	1.21	3.02	1.59	Homo sapiens SNF1-like kinase (SNF1LK), mRNA.	ILMN_23486	SNF1LK	
NM_004946	0.92	-0.12	1.14	0.18	1.02	0.03	0.87	-0.2	Homo sapiens dedicator of cytokinesis 2 (DOCK2), mRNA.	ILMN_2349	DOCK2	
NM_006195	0.93	-0.1	0.9	-0.16	1.17	0.23	1.27	0.35	Homo sapiens pre-B-cell leukemia transcription factor 3 (PBX3), mRNA.	ILMN_23493	PBX3	
NM_053041	0.83	-0.27	0.89	-0.16	1.13	0.17	0.94	-0.09	Homo sapiens COMM domain containing 7 (COMMD7), mRNA.	ILMN_23495	COMMD7	
NM_000039	1.11	0.16	1.1	0.14	0.99	-0.01	0.89	-0.17	Homo sapiens apolipoprotein A-I (APOA1), mRNA.	ILMN_23504	APOA1	
NM_138425	1.06	0.08	1.13	0.18	0.54	-0.9	0.7	-0.51	Homo sapiens chromosome 12 open reading frame 57 (C12orf57), mRNA.	ILMN_23505	C12orf57	
NM_006324	0.72	-0.47	0.78	-0.35	1.01	0.01	1.03	0.04	Homo sapiens craniofacial development protein 1 (CFDP1), mRNA.	ILMN_23508	CFDP1	
NM_005125	NaN	NaN	0.59	-0.75	0.65	-0.62	0.76	-0.4	Homo sapiens copper chaperone for superoxide dismutase (CCS), mRNA.	ILMN_23509	CCS	
NM_005013	0.53	-0.91	0.52	-0.93	0.36	-1.46	0.46	-1.12	Homo sapiens nucleobindin 2 (NUCB2), mRNA.	ILMN_23510	NUCB2	
NM_014463	0.71	-0.49	0.74	-0.43	0.76	-0.39	0.7	-0.52	Homo sapiens LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM3), mRNA.	ILMN_23516	LSM3	
NM_017636	0.58	-0.79	0.68	-0.56	1.33	0.41	1.52	0.61	Homo sapiens transient receptor potential cation channel, subfamily M, member 4 (TRPM4), mRNA.	ILMN_23519	TRPM4	
NM_016311	0.5	-1	0.65	-0.63	0.88	-0.19	0.74	-0.44	Homo sapiens ATPase inhibitory factor 1 (ATPIF1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	ILMN_23521	ATPIF1	
NM_080546	0.49	-1.02	0.73	-0.45	0.9	-0.16	0.67	-0.57	Homo sapiens solute carrier family 44, member 1 (SLC44A1), transcript variant 2, mRNA.	ILMN_23525	SLC44A1	
NM_016118	4.35	2.12	3.57	1.84	1.48	0.56	1.02	0.03	Homo sapiens NEDD8 ultimate buster-1 (NYREN18), mRNA.	ILMN_23529	NYREN18	
NM_021155	0.4	-1.31	0.52	-0.94	NaN	NaN	NaN	NaN	Homo sapiens CD209 antigen (CD209), mRNA.	ILMN_23533	CD209	
NM_019011	1.11	0.15	0.94	-0.08	0.93	-0.11	1.05	0.07	Homo sapiens TRIAD3 protein (TRIAD3), transcript variant 3, mRNA.	ILMN_23534	TRIAD3	
NM_005022	1.08	0.12	0.86	-0.21	0.9	-0.15	0.88	-0.19	Homo sapiens profilin 1 (PFN1), mRNA.	ILMN_2354	PFN1	
NM_000178	0.77	-0.38	1.04	0.05	0.84	-0.26	1.07	0.1	Homo sapiens glutathione synthetase (GSS), mRNA.	ILMN_23541	GSS	
NM_014408	0.74	-0.43	0.71	-0.49	1.07	0.1	1	0	Homo sapiens trafficking protein particle complex 3 (TRAPPC3), mRNA.	ILMN_23547	TRAPPC3	
NM_001004310	1.9	0.92	1.41	0.5	1.07	0.1	1.02	0.03	Homo sapiens Fc receptor-like 6 (FCRL6), mRNA.	ILMN_2355	FCRL6	
NM_001025242	0.98	-0.04	0.97	-0.04	0.77	-0.38	0.62	-0.7	Homo sapiens interleukin-1 receptor-associated kinase 1 (IRAK1), transcript variant 2, mRNA.	ILMN_23550	IRAK1	
NM_004131	3.39	1.76	4	2	1.75	0.81	3.11	1.63	Homo sapiens granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1) (GZMB), mRNA.	ILMN_23555	GZMB	
NM_005918	1.11	0.16	0.83	-0.27	1.23	0.3	1.24	0.31	Homo sapiens malate dehydrogenase 2, NAD (mitochondrial) (MDH2), mRNA.	ILMN_23557	MDH2	
NM_032301	0.99	-0.02	0.92	-0.12	1.18	0.24	0.98	-0.03	Homo sapiens F-box and WD-40 domain protein 9 (FBXW9), mRNA.	ILMN_23561	FBXW9	
NM_139313	1.53	0.62	1.11	0.15	0.84	-0.25	0.96	-0.06	Homo sapiens YME1-like 1 (S. cerevisiae) (YME1L1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	ILMN_23566	YME1L1	
NM_138571	NaN	NaN	NaN	NaN	1.61	0.69	1.16	0.21	Homo sapiens histidine triad nucleotide binding protein 3 (HINT3), mRNA.	ILMN_23568	HINT3	
NM_002513	0.45	-1.15	0.69	-0.54	0.84	-0.24	0.93	-0.11	Homo sapiens non-metastatic cells 3, protein expressed in (NME3), mRNA.	ILMN_23571	NME3	
NM_001768	1.01	0.01	NaN	NaN	1.02	0.03	1.21	0.27	Homo sapiens CD8 antigen, alpha polypeptide (p32) (CD8A), transcript variant 1, mRNA.	ILMN_2358	CD8A	
NM_002105	1.21	0.28	1.26	0.33	0.67	-0.58	0.85	-0.24	Homo sapiens H2A histone family, member X (H2AFX), mRNA.	ILMN_23585	H2AFX	
NM_020245	1.45	0.54	1.29	0.37	1.2	0.26	1.17	0.23	Homo sapiens tubby like protein 4 (TULP4), transcript variant 1, mRNA.	ILMN_23594	TULP4	
NM_001014990	0.79	-0.34	0.81	-0.31	0.8	-0.31	0.87	-0.2	Homo sapiens mitochondrial ribosomal protein L22 (MRPL22), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	ILMN_23600	MRPL22	
NM_000063	0.66	-0.6	1.13	0.18	0.61	-0.71	0.59	-0.77	Homo sapiens complement component 2 (C2), mRNA.	ILMN_23604	C2	
NM_145267	0.5	-1.01	0.68	-0.55	0.92	-0.11	0.86	-0.21	Homo sapiens chromosome 6 open reading frame 57 (C6orf57), mRNA.	ILMN_23605	C6orf57	
NM_144580	0.44	-1.18	0.59	-0.76	1.03	0.04	0.99	-0.01	Homo sapiens chromosome 1 open reading frame 85 (C1orf85), mRNA.	ILMN_23607	C1orf85	
NM_172208	7.69	2.94	6.32	2.66	2.72	1.44	2.7	1.43	Homo sapiens TAP binding protein (tapasin) (TAPBP), transcript variant 2, mRNA.	ILMN_23611	TAPBP	
NM_138341	NaN	NaN	0.22	-2.21	NaN	NaN	NaN	NaN	Homo sapiens transmembrane protein 116 (TMEM116), mRNA.	ILMN_23612	TMEM116	
NM_012331	1.16	0.22	1.29	0.37	1.07	0.09	1.16	0.22	Homo sapiens methionine sulfoxide reductase A (MSRA), mRNA.	ILMN_23621	MSRA	
NM_000414	0.42	-1.25	0.65	-0.62	0.95	-0.08	0.97	-0.04	Homo sapiens hydroxysteroid (17-beta) dehydrogenase 4 (HSD17B4), mRNA.	ILMN_23623	HSD17B4	
NM_003264	9.59	3.26	9.07	3.18	1.62	0.69	1.59	0.67	Homo sapiens toll-like receptor 2 (TLR2), mRNA.	ILMN_23642	TLR2	
NM_000374	NaN	NaN	0.64	-0.65	0.84	-0.25	0.74	-0.44	Homo sapiens uroporphyrinogen decarboxylase (UROD), mRNA.	ILMN_23649	UROD	
NM_015153	0.54	-0.9	0.55	-0.87	1.28	0.36	1.2	0.26	Homo sapiens PHD finger protein 3 (PHF3), mRNA.	ILMN_23658	PHF3	
NM_180976	NaN	NaN	NaN	NaN	0.84	-0.24	1.34	0.42	Homo sapiens protein phosphatase 2, regulatory subunit B (B56), delta isoform (PPP2R5D), transcript variant 2, mRNA.	ILMN_2366	PPP2R5D	
NM_032305	0.45	-1.16	0.58	-0.79	0.8	-0.33	0.85	-0.24	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide G (32kD) like (POLR3GL), mRNA.	ILMN_23668	POLR3GL	
NM_001003786	0.25	-2	0.34	-1.57	0.81	-0.31	0.71	-0.5	Homo sapiens protein kinase LYK5 (LYK5), transcript variant 2, mRNA.	ILMN_2367	LYK5	
NM_024699	0.74	-0.44	0.69	-0.53	0.86	-0.22	0.81	-0.3	Homo sapiens zinc finger, AN1-type domain 1 (ZFAND1), mRNA.	ILMN_23674	ZFAND1	
NM_023923	1.05	0.07	1.48	0.57	1.13	0.17	0.97	-0.04	Homo sapiens phosphatase and actin regulator 4 (PHACTR4), mRNA.	ILMN_23684	PHACTR4	
NM_014079	0.27	-1.89	0.35	-1.5	1.31	0.39	1.56	0.64	Homo sapiens Kruppel-like factor 15 (KLF15), mRNA.	ILMN_23686	KLF15	
NM_022764	1.14	0.18	1.14	0.2	1.37	0.46	1.52	0.6	Homo sapiens hypothetical protein FLJ12998 (FLJ12998), mRNA.	ILMN_23689	FLJ12998	
NM_199356	0.93	-0.11	1.18	0.24	0.55	-0.87	0.52	-0.94	Homo sapiens thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor) (THPO), transcript variant 3, mRNA.	ILMN_2370	THPO	
NM_032444	NaN	NaN	0.61	-0.72	1.24	0.31	1.12	0.16	Homo sapiens BTB (POZ) domain containing 12 (BTBD12), mRNA.	ILMN_23717	BTBD12	
NM_052886	0.24	-2.06	0.23	-2.1	0.3	-1.73	0.42	-1.26	Homo sapiens mal, T-cell differentiation protein 2 (MAL2), mRNA.	ILMN_23727	MAL2	
NM_002201	4.28	2.1	2	1	4.03	2.01	3.71	1.89	Homo sapiens interferon stimulated exonuclease gene 20kDa (ISG20), mRNA.	ILMN_23731	ISG20	
NM_001001936	1.5	0.58	1.96	0.97	0.57	-0.8	0.46	-1.11	Homo sapiens KIAA1914 (KIAA1914), transcript variant 1, mRNA.	ILMN_23732	KIAA1914	
NM_138473	1.12	0.16	1.09	0.13	1.07	0.1	1.06	0.09	Homo sapiens Sp1 transcription factor (SP1), mRNA.	ILMN_23737	SP1	
NM_002811	1.3	0.38	1.24	0.31	1.07	0.1	0.86	-0.21	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog) (PSMD7), mRNA.	ILMN_23738	PSMD7	
NM_012222	0.97	-0.04	0.76	-0.39	0.8	-0.31	0.86	-0.23	Homo sapiens mutY homolog (E. coli) (MUTYH), mRNA.	ILMN_2374	MUTYH	
NM_004450	1.11	0.16	1.04	0.06	0.7	-0.52	0.53	-0.91	Homo sapiens enhancer of rudimentary homolog (Drosophila) (ERH), mRNA.	ILMN_23740	ERH	
NM_133497	1.45	0.54	1.31	0.39	1	0.01	1	0	Homo sapiens potassium channel, subfamily V, member 2 (KCNV2), mRNA.	ILMN_23743	KCNV2	
NM_021930	1.37	0.45	1.15	0.2	NaN	NaN	NaN	NaN	Homo sapiens Rad50-interacting protein 1 (RINT-1), mRNA.	ILMN_23747	RINT-1	
NM_006270	0.58	-0.8	0.68	-0.56	1.13	0.17	1.01	0.02	Homo sapiens related RAS viral (r-ras) oncogene homolog (RRAS), mRNA.	ILMN_23748	RRAS	
NM_006663	2.76	1.47	1.88	0.91	1.79	0.84	1.85	0.89	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 13 like (PPP1R13L), mRNA.	ILMN_2375	PPP1R13L	
NM_133259	1.51	0.59	1.31	0.39	0.83	-0.26	0.79	-0.33	Homo sapiens leucine-rich PPR-motif containing (LRPPRC), mRNA.	ILMN_23753	LRPPRC	
NM_175862	0.37	-1.42	1.2	0.26	NaN	NaN	NaN	NaN	Homo sapiens CD86 antigen (CD28 antigen ligand 2, B7-2 antigen) (CD86), transcript variant 1, mRNA.	ILMN_23756	CD86	
NM_174887	0.87	-0.2	0.99	-0.02	0.63	-0.68	0.66	-0.61	Homo sapiens intraflagellar transport 20 homolog (Chlamydomonas) (IFT20), mRNA.	ILMN_23759	IFT20	
NM_001166	2.28	1.19	1.41	0.49	0.9	-0.16	0.91	-0.13	Homo sapiens baculoviral IAP repeat-containing 2 (BIRC2), mRNA.	ILMN_23760	BIRC2	
NM_012133	NaN	NaN	0.47	-1.08	1.1	0.13	0.96	-0.06	Homo sapiens coatomer protein complex, subunit gamma 2 (COPG2), mRNA.	ILMN_23766	COPG2	
NM_001025616	NaN	NaN	NaN	NaN	0.75	-0.41	0.89	-0.16	Homo sapiens Rho GTPase activating protein 24 (ARHGAP24), transcript variant 1, mRNA.	ILMN_23772	ARHGAP24	
NM_033546	0.88	-0.18	0.86	-0.21	1.27	0.35	1.24	0.31	Homo sapiens myosin regulatory light chain MRLC2 (MRLC2), mRNA.	ILMN_23774	MRLC2	
NM_030809	1.17	0.23	1.02	0.03	0.89	-0.17	1.01	0.02	Homo sapiens chromosome 12 open reading frame 22 (C12orf22), mRNA.	ILMN_23790	C12orf22	
NM_024527	NaN	NaN	NaN	NaN	1.15	0.2	0.97	-0.04	Homo sapiens abhydrolase domain containing 8 (ABHD8), mRNA.	ILMN_23791	ABHD8	
NM_017542	1.04	0.06	0.91	-0.13	0.9	-0.15	1.01	0.02	Homo sapiens pogo transposable element with KRAB domain (POGK), mRNA.	ILMN_23795	POGK	
NM_031279	0.14	-2.8	0.89	-0.16	1.08	0.11	1.63	0.71	Homo sapiens alanine-glyoxylate aminotransferase 2-like 1 (AGXT2L1), mRNA.	ILMN_23805	AGXT2L1	
NM_020194	0.81	-0.3	1	0	1.09	0.13	1.14	0.19	Homo sapiens chromosome 2 open reading frame 33 (C2orf33), mRNA.	ILMN_23814	C2orf33	
NM_014933	0.92	-0.11	0.81	-0.31	0.89	-0.17	0.81	-0.3	Homo sapiens SEC31-like 1 (S. cerevisiae) (SEC31L1), transcript variant 1, mRNA.	ILMN_23819	SEC31L1	
NM_017917	1.36	0.45	1.02	0.03	1.72	0.78	1.83	0.87	Homo sapiens chromosome 14 open reading frame 10 (C14orf10), mRNA.	ILMN_23821	C14orf10	
NM_018706	NaN	NaN	0.28	-1.83	0.71	-0.49	0.52	-0.95	Homo sapiens dehydrogenase E1 and transketolase domain containing 1 (DHTKD1), mRNA.	ILMN_23823	DHTKD1	
NM_016457	1.31	0.39	1.22	0.29	1.38	0.46	1.18	0.24	Homo sapiens protein kinase D2 (PRKD2), mRNA.	ILMN_23825	PRKD2	
NM_014467	2.84	1.5	2.6	1.38	5.4	2.43	3.1	1.63	Homo sapiens sushi-repeat-containing protein, X-linked 2 (SRPX2), mRNA.	ILMN_23854	SRPX2	
NM_181336	1.02	0.03	1.14	0.19	1.4	0.49	1.35	0.44	Homo sapiens LEM domain containing 2 (LEMD2), mRNA.	ILMN_23860	LEMD2	
NM_015077	10.42	3.38	7.16	2.84	0.45	-1.15	0.68	-0.56	Homo sapiens sterile alpha and TIR motif containing 1 (SARM1), mRNA.	ILMN_23861	SARM1	
NM_198275	NaN	NaN	NaN	NaN	0.31	-1.68	NaN	NaN	Homo sapiens hypothetical protein LOC196264 (LOC196264), mRNA.	ILMN_23862	LOC196264	
NM_004453	0.49	-1.04	0.57	-0.82	0.88	-0.18	0.81	-0.31	Homo sapiens electron-transferring-flavoprotein dehydrogenase (ETFDH), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_23863	ETFDH	
NM_004629	NaN	NaN	NaN	NaN	0.77	-0.37	0.83	-0.28	Homo sapiens Fanconi anemia, complementation group G (FANCG), mRNA.	ILMN_23865	FANCG	
NM_017547	0.76	-0.39	0.8	-0.31	0.65	-0.63	0.83	-0.27	Homo sapiens FAD-dependent oxidoreductase domain containing 1 (FOXRED1), mRNA.	ILMN_23866	FOXRED1	
NM_005831	1.46	0.55	1.07	0.1	1.22	0.29	1.31	0.39	Homo sapiens calcium binding and coiled-coil domain 2 (CALCOCO2), mRNA.	ILMN_23867	CALCOCO2	
NM_018238	NaN	NaN	NaN	NaN	1.23	0.3	1.1	0.14	Homo sapiens multiple substrate lipid kinase (MULK), mRNA.	ILMN_23868	MULK	
NM_001025463	3.17	1.67	1.43	0.52	NaN	NaN	NaN	NaN	Homo sapiens hypothetical protein LOC284751 (LOC284751), mRNA.	ILMN_23869	LOC284751	
NM_031917	0.4	-1.33	0.69	-0.54	0.26	-1.95	0.38	-1.39	Homo sapiens angiopoietin-like 6 (ANGPTL6), mRNA.	ILMN_23873	ANGPTL6	
NM_203288	0.47	-1.09	0.48	-1.04	1.23	0.3	1.42	0.5	Homo sapiens retinitis pigmentosa 9 (autosomal dominant) (RP9), mRNA.	ILMN_23874	RP9	
NM_033500	2.11	1.08	1.93	0.95	2.2	1.14	2.8	1.48	Homo sapiens hexokinase 1 (HK1), nuclear gene encoding mitochondrial protein, transcript variant 5, mRNA.	ILMN_23877	HK1	
NM_006693	1.12	0.17	0.94	-0.09	1.33	0.41	1.18	0.24	Homo sapiens cleavage and polyadenylation specific factor 4, 30kDa (CPSF4), mRNA.	ILMN_23899	CPSF4	
NM_023930	2.02	1.01	1.71	0.78	0.64	-0.65	0.66	-0.6	Homo sapiens potassium channel tetramerisation domain containing 14 (KCTD14), mRNA.	ILMN_2390	KCTD14	
NM_016582	1.24	0.32	1.48	0.56	2	1	1.79	0.84	Homo sapiens solute carrier family 15, member 3 (SLC15A3), mRNA.	ILMN_23901	SLC15A3	
NM_024051	0.41	-1.27	0.47	-1.08	0.39	-1.36	0.45	-1.15	Homo sapiens chromosome 7 open reading frame 24 (C7orf24), mRNA.	ILMN_2391	C7orf24	
NM_032206	2.21	1.14	2.52	1.33	1.03	0.05	1.14	0.19	Homo sapiens nucleotide-binding oligomerization domains 27 (NOD27), mRNA.	ILMN_23914	NOD27	
NM_199044	1.28	0.36	0.9	-0.16	0.87	-0.19	0.8	-0.32	Homo sapiens NOL1/NOP2/Sun domain family, member 4 (NSUN4), mRNA.	ILMN_23916	NSUN4	
NM_001017421	1.43	0.51	1.09	0.12	1.81	0.85	2.62	1.39	Homo sapiens actin-like protein (FKSG30), mRNA.	ILMN_2393	FKSG30	
NM_007159	1.4	0.49	1.47	0.56	1.05	0.07	1.3	0.37	Homo sapiens sarcolemma associated protein (SLMAP), mRNA.	ILMN_23946	SLMAP	
NM_198080	NaN	NaN	0.38	-1.39	1.49	0.57	1.26	0.34	Homo sapiens methionine sulfoxide reductase B3 (MSRB3), transcript variant 1, mRNA.	ILMN_23954	MSRB3	
NM_032309	0.64	-0.65	0.66	-0.59	0.74	-0.43	0.82	-0.29	Homo sapiens coiled-coil-helix-coiled-coil-helix domain containing 5 (CHCHD5), mRNA.	ILMN_23956	CHCHD5	
NM_006532	2.84	1.5	2.61	1.38	1.31	0.39	1.46	0.55	Homo sapiens elongation factor RNA polymerase II (ELL), mRNA.	ILMN_23957	ELL	
NM_152404	0.37	-1.43	0.77	-0.39	0.63	-0.67	0.38	-1.38	Homo sapiens UDP glycosyltransferase 3 family, polypeptide A1 (UGT3A1), mRNA.	ILMN_2396	UGT3A1	
NM_020895	3.27	1.71	2.55	1.35	2.76	1.46	2.57	1.36	Homo sapiens GRAM domain containing 1A (GRAMD1A), mRNA.	ILMN_23962	GRAMD1A	
NM_015959	NaN	NaN	0.98	-0.03	NaN	NaN	NaN	NaN	Homo sapiens thioredoxin domain containing 14 (TXNDC14), mRNA.	ILMN_23968	TXNDC14	
NM_003443	1.71	0.78	1.79	0.84	1.07	0.1	1.03	0.04	Homo sapiens zinc finger and BTB domain containing 17 (ZBTB17), mRNA.	ILMN_23973	ZBTB17	
NM_000766	0.89	-0.16	0.84	-0.25	NaN	NaN	NaN	NaN	Homo sapiens cytochrome P450, family 2, subfamily A, polypeptide 13 (CYP2A13), mRNA.	ILMN_23975	CYP2A13	
NM_175568	1.64	0.72	0.73	-0.45	1.83	0.87	1.52	0.6	Homo sapiens purinergic receptor P2X, ligand-gated ion channel, 4 (P2RX4), transcript variant 3, mRNA.	ILMN_23982	P2RX4	
NM_006493	3.55	1.83	3.02	1.59	1.19	0.25	1.02	0.03	Homo sapiens ceroid-lipofuscinosis, neuronal 5 (CLN5), mRNA.	ILMN_23994	CLN5	
NM_004383	0.99	-0.02	1.1	0.13	0.89	-0.16	0.99	-0.01	Homo sapiens c-src tyrosine kinase (CSK), mRNA.	ILMN_23996	CSK	
NM_016593	0.2	-2.33	0.7	-0.51	0.16	-2.67	NaN	NaN	Homo sapiens cytochrome P450, family 39, subfamily A, polypeptide 1 (CYP39A1), mRNA.	ILMN_24012	CYP39A1	
NM_018561	0.75	-0.41	0.79	-0.35	0.9	-0.16	1.04	0.06	Homo sapiens ubiquitin specific peptidase 49 (USP49), mRNA.	ILMN_24018	USP49	
NM_032204	1.27	0.34	1.21	0.27	1.36	0.44	1.18	0.24	Homo sapiens activating signal cointegrator 1 complex subunit 2 (ASCC2), mRNA.	ILMN_24019	ASCC2	
NM_024814	1.5	0.58	1.81	0.86	NaN	NaN	NaN	NaN	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1 (CBLL1), mRNA.	ILMN_24021	CBLL1	
NM_001349	1.05	0.07	0.93	-0.1	1.04	0.06	1.01	0.01	Homo sapiens aspartyl-tRNA synthetase (DARS), mRNA.	ILMN_24022	DARS	
NM_022354	NaN	NaN	0.69	-0.53	NaN	NaN	NaN	NaN	Homo sapiens spermatogenesis associated 1 (SPATA1), mRNA.	ILMN_24024	SPATA1	
